Iraqi_Australians,religion,Catholic_Church_in_Iraq,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/EthnicGroup'}, '', set()]"
Pariacaca,alternativeName,Paryaqaqa / Tullujuto,Valid,"['', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Pariacaca,elevation,5750.0,Valid,"['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://www.w3.org/2001/XMLSchema#double', set()]"
Pariacaca,firstAscentYear,1936,Valid,"['http://dbpedia.org/ontology/Mountain', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://www.w3.org/2001/XMLSchema#gYear', set()]"
Pariacaca,firstAscentYear,1938,Valid,"['http://dbpedia.org/ontology/Mountain', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://www.w3.org/2001/XMLSchema#gYear', set()]"
Pariacaca,locatedInArea,Peru,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Pariacaca,locatedInArea,Department_of_Lima,"Possibly Valid (Domain matches, no actual range to check against)","['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/Place', set()]"
Pariacaca,locatedInArea,Department_of_Junín,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/AdministrativeRegion'}]"
Pariacaca,mountainRange,Andes,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Mountain', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/MountainRange', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/MountainRange', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}]"
Pariacaca,mountainRange,Pariacaca_mountain_range,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Mountain', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/MountainRange', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/MountainRange', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}]"
Pariacaca_mountain_range,highest,Pariacaca,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MountainRange', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/MountainRange', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}, 'http://dbpedia.org/ontology/Mountain', {'http://dbpedia.org/ontology/Mountain', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place'}]"
